,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Color_pre,DayuponOutcome,AboutAge,BreedMix,Breed_pre,Year,Month,YearMonth,Hour,Season,Quarter,Group,Size
0,5419,1,3361,3,NaN,1,2,5,1221,130,2,365,2,1,181,1,1,4,18,3,0,0,3
1,1603,1,350,2,Suffering,0,3,5,640,167,6,365,2,1,80,0,9,0,12,0,3,8,5
2,11613,1,12681,0,Foster,1,2,21,1066,86,1,730,20,1,159,2,0,15,12,3,0,5,2
3,10238,0,7190,4,Partner,0,1,25,640,42,1,21,2,1,80,1,6,9,19,2,2,8,5
4,3501,0,1233,4,Partner,1,2,21,914,274,18,730,20,1,127,0,10,1,12,0,3,3,9
5,7395,1,5021,4,Partner,1,0,2,369,36,0,30,2,1,52,1,3,6,13,1,1,5,3
6,17151,1,13872,4,Partner,0,1,25,640,63,1,21,2,1,80,2,2,17,13,1,0,8,5
7,18182,0,14618,4,Partner,0,4,25,640,104,2,21,2,1,80,2,3,18,17,1,1,8,5
8,5372,1,3213,0,NaN,1,3,32,45,250,14,150,2,1,10,1,1,4,17,3,0,12,9
9,7573,0,5209,0,Offsite,1,3,5,364,318,22,365,2,0,52,1,4,7,7,1,1,5,3
10,4030,0,1712,4,SCRP,0,4,21,640,5,0,730,20,1,80,0,11,2,15,3,3,8,5
11,3171,0,965,0,NaN,1,3,21,980,263,17,730,20,1,137,0,10,1,14,0,3,5,9
12,10788,1,22480,0,Foster,1,2,30,1066,88,2,1460,20,1,159,3,1,28,11,3,0,5,2
13,19748,1,15800,3,NaN,1,2,21,1365,33,0,730,20,1,219,2,5,20,16,2,1,6,4
14,12614,1,20769,3,NaN,1,2,5,764,338,22,365,2,1,104,2,10,25,15,0,3,7,0
15,8077,1,7207,0,Foster,0,2,24,640,220,13,90,2,1,80,1,6,9,12,2,2,8,5
16,7688,0,5224,4,Partner,0,1,25,640,104,2,21,2,1,80,1,4,7,16,1,1,8,5
17,8660,0,6133,4,Partner,1,0,20,1066,130,2,14,2,1,159,1,5,8,12,2,1,5,2
18,8173,1,5556,4,Partner,0,0,21,72,318,22,730,20,1,14,1,4,7,11,1,1,12,9
19,10879,1,7895,3,NaN,1,2,5,681,5,0,365,2,1,95,1,6,9,17,2,2,12,9
20,4968,1,2857,4,Partner,1,1,19,1158,38,0,60,2,1,168,1,0,3,15,3,0,12,9
21,21704,1,18972,4,Partner,0,3,5,640,318,22,365,2,1,80,2,8,23,15,0,2,8,5
22,20048,1,17967,0,NaN,1,3,21,1109,98,2,730,20,1,161,2,7,22,14,2,2,12,2
23,2969,1,787,0,NaN,1,2,6,696,130,2,300,2,1,98,0,9,0,16,0,3,0,1
24,6983,1,4644,3,NaN,1,2,19,696,25,0,60,2,1,98,1,3,6,17,1,1,0,1
25,23469,1,19331,4,Partner,0,0,2,640,216,13,30,2,1,80,2,9,24,15,0,3,8,5
26,26023,1,22061,0,NaN,1,3,36,55,165,5,180,2,1,12,3,0,27,17,3,0,5,2
27,16985,1,13819,0,NaN,1,3,34,450,353,22,1825,6,1,61,2,2,17,18,1,0,6,3
28,24634,1,20654,0,NaN,0,3,19,640,168,6,60,2,1,80,2,10,25,13,0,3,8,5
29,21636,1,17535,3,NaN,0,2,39,1207,41,1,2555,8,1,174,2,6,21,14,2,2,12,9
30,25903,0,21705,2,Suffering,0,3,26,640,139,4,1095,4,1,80,3,0,27,13,3,0,8,5
31,21052,1,17021,4,Partner,1,1,28,847,38,0,120,2,1,124,2,6,21,15,2,2,4,1
32,9787,0,6926,0,NaN,0,3,19,640,291,19,60,2,1,80,1,6,9,17,2,2,8,5
33,3401,1,1053,3,NaN,1,2,34,540,114,2,1825,6,1,67,0,10,1,13,0,3,12,9
34,17328,1,14169,4,Partner,1,2,26,450,88,2,1095,4,1,61,2,3,18,16,1,1,6,3
35,4129,0,1730,2,Suffering,1,1,26,847,358,23,1095,4,1,124,0,11,2,14,3,3,4,1
36,1622,1,667,3,NaN,1,2,26,1066,130,2,1095,4,1,159,0,9,0,11,0,3,5,2
37,9721,0,6888,4,Partner,0,1,19,640,86,1,60,2,1,80,1,6,9,13,2,2,8,5
38,18740,1,17834,4,Partner,0,2,28,640,38,0,120,2,1,80,2,7,22,0,2,2,8,5
39,21135,0,16990,4,Partner,0,1,25,640,104,2,21,2,1,80,2,6,21,12,2,2,8,5
40,16413,1,14030,0,NaN,0,3,39,640,63,1,2555,8,1,80,2,3,18,17,1,1,8,5
41,20208,0,16251,4,Partner,0,1,19,640,216,13,60,2,1,80,2,5,20,13,2,1,8,5
42,4023,1,1811,4,Partner,0,0,19,640,104,2,60,2,1,80,0,11,2,15,3,3,8,5
43,5175,0,2916,4,SCRP,0,1,30,632,38,0,1460,20,1,78,1,0,3,15,3,0,10,7
44,7166,1,5864,0,NaN,0,2,21,640,38,0,730,20,1,80,1,4,7,15,1,1,8,5
45,11723,1,8677,3,NaN,1,2,10,166,307,21,4380,20,0,22,1,7,10,7,2,2,1,3
46,10730,1,8054,3,NaN,0,3,43,640,320,22,3285,10,1,80,1,7,10,11,2,2,8,5
47,18327,0,14757,4,Partner,0,0,25,640,5,0,21,2,1,80,2,4,19,11,1,1,8,5
48,16645,1,13471,0,NaN,1,3,32,696,25,0,150,2,1,98,2,2,17,17,1,0,0,1
49,3083,0,838,2,Aggressive,1,1,37,1091,165,5,2190,20,1,159,0,9,0,15,0,3,5,2
50,10541,0,7817,4,SCRP,0,0,5,640,296,20,365,2,1,80,1,6,9,9,2,2,8,5
51,22225,1,19796,0,NaN,0,3,24,640,104,2,90,2,1,80,2,9,24,18,0,3,8,5
52,9692,0,6705,4,Partner,0,0,25,640,68,1,21,2,1,80,1,5,8,17,2,1,8,5
53,18232,1,14985,0,NaN,1,2,21,234,204,10,730,20,1,35,2,4,19,12,1,1,12,9
54,13725,1,10873,0,NaN,0,3,19,640,220,13,60,2,1,80,1,10,13,16,0,3,8,5
55,23556,0,19348,4,Partner,0,1,4,640,5,0,7,2,1,80,2,9,24,15,0,3,8,5
56,21215,1,17995,0,NaN,0,3,19,640,139,4,60,2,1,80,2,7,22,13,2,2,8,5
57,10247,0,7512,4,Partner,1,1,5,450,274,18,365,2,1,61,1,6,9,16,2,2,6,3
58,703,1,9280,3,NaN,1,3,30,214,276,18,1460,20,1,33,1,8,11,14,0,2,12,9
59,9917,1,7034,0,NaN,1,2,21,577,130,2,730,20,1,70,1,6,9,12,2,2,1,3
60,22124,1,18068,4,Partner,0,1,5,640,220,13,365,2,1,80,2,7,22,13,2,2,8,5
61,7918,1,5369,2,Suffering,1,3,9,1365,114,2,4015,12,1,219,1,4,7,18,1,1,6,4
62,23586,1,19399,4,Partner,0,0,2,640,5,0,30,2,1,80,2,9,24,15,0,3,8,5
63,23253,1,19107,0,NaN,1,3,21,559,289,18,730,20,1,70,2,8,23,11,0,2,1,3
64,10506,0,7467,4,Partner,0,4,20,640,5,0,14,2,1,80,1,6,9,17,2,2,8,5
65,24368,1,19995,3,NaN,1,3,37,924,318,22,2190,20,1,130,2,9,24,18,0,3,6,4
66,14109,1,11417,4,Partner,1,2,36,1116,38,0,180,2,1,163,1,11,14,15,3,3,4,2
67,22821,1,18680,4,Partner,1,0,19,662,131,3,60,2,0,85,2,8,23,15,0,2,1,1
68,20046,0,16016,4,SCRP,0,4,19,640,111,2,60,2,1,80,2,5,20,9,2,1,8,5
69,7755,1,5392,0,NaN,1,3,5,450,226,14,365,2,1,61,1,4,7,18,1,1,6,3
70,7148,1,5159,0,NaN,1,2,19,1329,88,2,60,2,1,211,1,3,6,17,1,1,4,2
71,18209,1,22385,4,Partner,1,2,21,1066,98,2,730,20,1,159,3,0,27,14,3,0,5,2
72,6480,0,4266,0,NaN,1,3,26,718,318,22,1095,4,1,98,1,2,5,18,1,0,0,1
73,20645,1,18040,3,NaN,0,0,5,640,5,0,365,2,1,80,2,7,22,11,2,2,8,5
74,4492,1,2328,3,NaN,1,3,30,1365,84,1,1460,20,1,219,0,11,2,16,3,3,6,4
75,21976,1,18076,4,Partner,1,3,21,391,274,18,730,20,1,55,2,7,22,14,2,2,0,3
76,9292,1,6579,0,NaN,0,3,24,631,104,2,90,2,0,78,1,5,8,17,2,1,10,7
77,6516,0,4154,2,Suffering,0,0,5,640,139,4,365,2,1,80,1,2,5,17,1,0,8,5
78,19462,1,15754,0,NaN,1,2,19,515,5,0,60,2,1,64,2,5,20,16,2,1,3,2
